Date,Title,Brief,Link
" June 20, 2022  7:24:48 am","Mixed signals in capacity utilisation: Cement, steel up, FMCG, auto lag","Analysts said capacity utilisation of 75-80 per cent needs to be sustained over 3-4 quarters for it to translate into an expansionary drive by the industry. Besides, there are mixed signals within sectors too.",https://indianexpress.com/article/business/economy/mixed-signals-in-capacity-utilisation-cement-steel-up-fmcg-auto-lag-7979084/
" June 21, 2022  7:14:37 am",RBI report: ‘Black swan’ event may trigger around Rs 7.8-lakh-cr outflow,"According to the RBI report, these estimates assume significance when assessed against the total stock of portfolio investment in India of $288 billion and short-term trade credit of $110.5 billion at the end of December 2021.",https://indianexpress.com/article/business/economy/rbi-report-black-swan-event-may-trigger-around-rs-7-8-lakh-cr-outflow-7979063/
" June 20, 2022  7:03:40 am",‘Security’ issues likely behind new GST Council meet venue,"47th Meeting of Goods and Services Tax Council to be held in Chandigarh instead of Srinagar
",https://indianexpress.com/article/business/economy/security-issues-likely-behind-new-gst-council-meet-venue-7977905/
" June 20, 2022  7:03:30 am",‘Geopolitical climate poses near-term challenges for Indian economy’: Chief Economic Adviser,"On the state of the banking sector, the Chief Economic Adviser noted that the banking sector balance sheets are in good shape with well-capitalised banks and lower bad loan ratios.",https://indianexpress.com/article/business/economy/geopolitical-climate-poses-near-term-challenges-7976330/
"June 18, 2022 4:19:50 am","Financial Express Modern BFSI Summit: Shifted focus to inflation after growth hit pre-Covid level, says Das","During the pandemic, the RBI’s Monetary Policy Committee (MPC) consciously decided to tolerate an inflation which was higher than 4 per cent, up to 6 per cent because the situation required that.",https://indianexpress.com/article/business/economy/financial-express-modern-bfsi-summit-shifted-focus-to-inflation-after-growth-hit-pre-covid-level-says-das-7976299/
" June 18, 2022  8:12:03 am","GST panel to draw up interim report, seek tenure extension","No consensus on final report within GoM on tweaking slabs
",https://indianexpress.com/article/business/economy/gst-panel-to-draw-up-interim-report-seek-tenure-extension-7976295/
" June 16, 2022  8:53:14 am","Fed hikes rates by 0.75 percentage point, flags slowing economy","Central bank lifts policy rate to range of 1.5% to 1.75%; Fed cuts economic growth projection, sees rising unemployment.",https://indianexpress.com/article/business/economy/federal-reserve-hikes-rates-flags-slowing-economy-7972337/
" June 16, 2022  8:53:06 am",Rupee dives 18 paise to fresh lifetime low of 78.22 per USD,"At the interbank foreign exchange market, rupee opened firm at 77.99 and finally settled at its all-time low of 78.22, down 18 paise over its previous close of 78.04",https://indianexpress.com/article/business/economy/rupee-dives-18-paise-lifetime-low-78-22-per-usd-7972142/
" June 16, 2022  8:56:57 am",‘Rate hike impact: Rs 18-lakh-cr NBFC debt to be dearer by 85-105 bps’,"According to a Crisil Ratings analysis of NBFCs, Rs 15 lakh crore of debt, or 65 per cent of outstanding debt as on March 31, 2022, is due for repricing this fiscal owing to interest reset or maturity.",https://indianexpress.com/article/business/economy/rate-hike-impact-rs-18-lakh-cr-nbfc-debt-to-be-dearer-by-85-105-bps-7970200/
" June 14, 2022  8:21:18 am","RBI regulations authority bats for updation, periodic review of returns","While the revamp of RBI website is expected to be completed soon, the RRA has recommended that all the contents posted on RBI website be updated on real-time basis.",https://indianexpress.com/article/business/economy/rbi-regulations-authority-bats-for-updation-periodic-review-of-returns-7968182/
"June 14, 2022 4:05:42 am","High US inflation singes Indian markets: stocks down 2.7%, Re below 78 to USD","Domestic equities joined the global sell-off with the benchmark Sensex plummeting 2.68 per cent or 1,457 points to close at 52,846.70.",https://indianexpress.com/article/business/economy/high-us-inflation-indian-markets-stocks-down-rupee-usd-7968096/
" June 12, 2022  7:28:03 am",‘Hoping for more direct tax than expectations this fiscal; looking at crypto concerns’,"Taking note of the concerns raised for the wordings of the taxation law for virtual digital assets (VDAs), CBDT Chairperson Sangeeta Singh said they are ""looking at those concerns"" and the intent of the soon-to-be-released guidelines is to explain the issue further.",https://indianexpress.com/article/business/economy/hoping-for-more-direct-tax-than-expectations-this-fiscal-looking-at-crypto-concerns-chairperson-central-board-of-direct-taxes-7965186/
"June 12, 2022 1:51:09 am","WTO meet: India to pitch ‘fair, just outcome’","For its part, New Delhi will push fora permanent solution to the issue of public stockholding of grains for its food security and strive to protect the interests of farmers and fishermen at the ministerial.",https://indianexpress.com/article/business/economy/wto-meet-india-to-pitch-fair-just-outcome-7965225/
" June 12, 2022  6:37:18 am",India’s Forex reserves down by USD 306 mn at USD 601.057 bn: RBI,"In the previous week, the reserves had increased by USD 3.854 billion to USD 601.363 billion. It had risen by USD 4.23 billion to USD 597.509 billion in the week ended May 20.",https://indianexpress.com/article/business/economy/indias-forex-reserves-down-usd-306-mn-usd-601-057-bn-rbi-7965077/
"June 11, 2022 4:02:08 am","Divestment not for shutting CPSEs, but for efficiency: FM","Highlighting that public sector enterprises which were  privatised between 1994 and 2004 are being driven by professionally run boards, the Minister said these companies have only improved.
",https://indianexpress.com/article/business/economy/divestment-not-for-shutting-cpses-but-for-efficiency-fm-7963588/
"June 7, 2022 3:57:57 am","Rate hike looms, bond yields spike to 3-year high","With Monday’s rise, 10-year bond yield has risen 147 basis points in the last one year. The rupee inched up 2 paise to close at 77.64 against the US dollar on Monday, tracking a weak American currency in the overseas market. ",https://indianexpress.com/article/business/economy/rate-hike-looms-bond-yields-spike-to-3-year-high-7956177/
"June 6, 2022 4:53:22 pm","India’s economic slowdown pronounced, BJP has no answers: Rahul","""Indian families are suffering from the onslaught of inflation and job loss and earning less per capita than they were two years ago,"" Gandhi said in a Facebook post.",https://indianexpress.com/article/business/economy/rahul-gandhi-economic-slowdown-india-bjp-7955564/
"June 6, 2022 4:46:44 am",Divestment: CPSEs to execute sale of Cabinet-cleared units,"However, those transactions for which expression of interest (EoI) have been issued will continue to be handled by the Department of Investment and Public Asset Management (DIPAM), it added.",https://indianexpress.com/article/business/economy/divestment-cpses-to-execute-sale-of-cabinet-cleared-units-7954528/
" June 6, 2022  7:47:24 am",Eye on return to pre-Covid rates: Markets brace for ‘no-brainer’ hike,RBI MPC likely to raise repo rate by up to 50 bps at upcoming meet,https://indianexpress.com/article/business/economy/eye-on-return-to-pre-covid-rates-markets-brace-for-no-brainer-hike-7954506/
"June 4, 2022 5:56:58 am","Demand offsets price rise, services PMI at 11-year high",The growth was led by substantial pick-up in new business growth amid demand recovering following the reopening of the economy after the Covid lockdowns.,https://indianexpress.com/article/business/economy/demand-offsets-price-rise-services-pmi-at-11-year-high-7951961/
" June 4, 2022  9:36:20 am",Easing global food prices and promise of good monsoon give RBI elbow room ahead of MPC meeting,The UN Food and Agriculture Organisation's (FAO) food price index has fallen for a second consecutive month to 157.4 points in May.,https://indianexpress.com/article/business/economy/global-food-prices-promise-good-monsoon-rbi-mpc-meeting-7951623/
" June 3, 2022  4:53:07 pm",Services activity expands at strongest rate in over 11 years in May amid mounting price pressures,"The seasonally adjusted S&P Global India Services PMI Business Activity Index jumped to 58.9 in May, up from 57.9 in April, amid better underlying demand and strong inflows of new work.",https://indianexpress.com/article/business/economy/services-activity-expands-at-strongest-rate-in-over-11-years-in-may-amid-mounting-price-pressures-7951145/
" June 2, 2022  5:30:24 pm",Trillions at stake in India as women disappear from workforce," According to research compiled by the World Bank between 2010 and 2020, the number of working women in India dropped from 26% to 19%. ",https://indianexpress.com/article/business/economy/women-workforce-pandemic-unemployment-7948977/
"June 2, 2022 2:00:39 pm",SBI revises up FY23 economic growth forecast to 7.5%,"As per official data, the economy grew by 8.7 percent in FY22, net adding Rs 11.8 lakh crore in the year to Rs 147 lakh crore, the report said, adding this was however only 1.5 percent higher than the pre-pandemic year of FY20.",https://indianexpress.com/article/business/economy/sbi-economic-growth-gdp-7948811/
" June 1, 2022  2:43:32 pm",GST revenues at nearly Rs 1.41 lakh crore in May,"Bucking the month-on-month increasing trend of the last two months, the Goods and Services Tax (GST) revenues came in lower than the record high collection in April at Rs 1.68 lakh crore.",https://indianexpress.com/article/business/economy/gst-revenues-at-nearly-rs-1-41-lakh-crore-in-may-7947034/
" June 1, 2022  2:15:33 am","Omicron hurts Q4, GDP grows 8.7% in FY22","India’s GDP grew at 8.7 per cent in the financial year 2021-22, while the GDP for the January-March quarter (Q4 of FY22) rose 4.1 per cent, data released by the National Statistical Office (NSO) showed.",https://indianexpress.com/article/business/economy/india-q4-gdp-provisional-estimates-2021-22-fy22-gross-domestic-product-data-7945742/
" May 31, 2022  4:45:29 pm","Fiscal deficit for 2021-22 at 6.7% of GDP, lower than earlier estimate: CGA",The revenue deficit at the end of 2021-22 was 4.37 per cent.,https://indianexpress.com/article/business/economy/fiscal-deficit-for-2021-22-at-6-7-pc-of-gdp-lower-than-earlier-estimate-cga-7945767/
"May 31, 2022 3:34:31 am","Govt, RBI steps to push down inflation: DEA",Retail inflation rate had surged to a eight-year high of 7.79 per cent in April and has remained above the central bank’s inflation target for four months.,https://indianexpress.com/article/business/economy/govt-rbi-steps-to-push-down-inflation-dea-7944562/
"May 31, 2022 3:29:01 am","Discussion paper on crypto is ‘fairly ready’, says Govt","The government has proposed to issue a Digital Rupee, or Central Bank Digital Currency (CBDC), in the fiscal year 2022-23.",https://indianexpress.com/article/business/economy/discussion-paper-on-crypto-is-fairly-ready-says-govt-7944560/
" May 31, 2022  2:36:51 pm","Behind Aadhaar flip flop: Plaints, confusion","The advisory was withdrawn by the Ministry of Electronics and Information Technology on Sunday on account of it being “misinterpreted”. Instead, the Ministry said, Aadhaar holders are “advised to exercise normal prudence in using and sharing” their card details.",https://indianexpress.com/article/business/economy/behind-aadhaar-flip-flop-plaints-confusion-7944541/
" May 23, 2022  1:21:12 pm","Prolonged high temperatures could worsen inflation, hurt growth: Moody’s","Over the longer term, India's highly negative credit exposure to physical climate risks means its economic growth will likely become more volatile as it faces increasing, and more extreme incidences of climate-related shocks, it noted.",https://indianexpress.com/article/business/economy/prolonged-high-temperatures-could-worsen-inflation-hurt-growth-moodys-7931479/
" May 23, 2022  5:26:39 am",India has space to attract $90 bn debt flows: RBI,India’s debt market is being progressively opened up to the foreign capital in a careful and calibrated manner.,https://indianexpress.com/article/business/economy/india-has-space-to-attract-90-bn-debt-flows-rbi-7931057/
"May 22, 2022 5:17:33 am","FPIs net sellers in equities on Re fall, US rate hike prospects","Foreign investors sell Rs 35,137 crore of equities during May 2-20
",https://indianexpress.com/article/business/economy/fpis-net-sellers-in-equities-on-re-fall-us-rate-hike-prospects-7929789/
" May 22, 2022  7:20:13 am","To cool inflation heat, Govt cuts excise on fuel, tweaks duty on raw materials",Sitharaman urges states to follow suit; Kerala cuts taxes; duty on iron ore exports hiked to 50%,https://indianexpress.com/article/business/economy/petrol-diesel-price-excise-duty-cut-7929407/
" May 21, 2022  6:51:23 am","Fiscal prudence, less litigation, reforms for Economy 2.0: CEA","""Technology can be the icing on the cake,"" he said, addressing the inaugural session of the 7th India Ideas Conclave on ‘India-2.0 Rebooting to Meta Era’, organised by India Foundation, a think tank backed by the RSS.",https://indianexpress.com/article/business/economy/fiscal-prudence-less-litigation-reforms-for-economy-2-0-cea-7928554/
"May 21, 2022 4:35:26 am",100-bp repo hike needed ‘very soon’: MPC member Varma,The steep decline in surplus was due to the absorption of liquidity by the central bank under the reverse repo window.,https://indianexpress.com/article/business/economy/100-bp-repo-hike-needed-very-soon-mpc-member-varma-7928543/
"May 19, 2022 11:08:34 am","India, fastest-growing major economy, projected to grow 6.4% in 2022: UN","The global economy is now projected to grow by only 3.1 per cent in 2022, down from the 4.0 per cent growth forecast released in January 2022.",https://indianexpress.com/article/business/economy/india-fastest-growing-major-economy-projected-to-grow-6-4-in-2022-un-7925170/
" May 19, 2022  10:34:12 am","PM panel flags urban job guarantee scheme, universal basic income","The report, titled “The State of Inequality in India” and prepared by the Gurgaon-based Institute for Competitiveness, was released on Wednesday by EAC chairman Bibek Debroy.",https://indianexpress.com/article/business/economy/pm-panel-flags-urban-job-guarantee-scheme-universal-basic-income-7924645/
" May 19, 2022  10:33:07 am","Inflation up, FMCG firms hike rates, cut pack volume and weight","The companies will have to display prices per gram where net weight is less than one kilogram, and per kilogram where net weight is more than one kilogram; per millilitre where net volume is less than one litre and per litre where net volume is more than one litre, enabling consumers to better compare non-standard pack sizes.",https://indianexpress.com/article/business/economy/inflation-up-fmcg-firms-hike-rates-cut-pack-volume-and-weight-7924660/
" May 19, 2022  4:47:26 am",100-bp repo hike needed ‘very soon’: MPC member Jayanth Varma,"As per RBI Governor Shaktikanta Das, the worsening outlook of inflation warrants timely action to forestall second round effects which could lead to unanchoring of inflation expectations.",https://indianexpress.com/article/business/economy/100-bp-repo-hike-needed-very-soon-mpc-member-varma-7924506/
